Tags,plainCocane,Joncrash,marisfredo,MommyGreen,RaguAndSalsa,CatJack0,Pain_Train821,milkerlover,Robur38
DataVersion,2730,2724,2724,2730,2730,2730,2730,2730,2724
stats_minecraft:broken_minecraft:diamond_boots,0,0,0,1,0,0,0,0,0
stats_minecraft:broken_minecraft:diamond_pickaxe,0,0,0,0,0,0,0,0,1
stats_minecraft:broken_minecraft:diamond_shovel,0,0,0,0,0,0,0,0,1
stats_minecraft:broken_minecraft:fishing_rod,0,0,0,0,0,0,0,0,3
stats_minecraft:broken_minecraft:flint_and_steel,0,1,0,0,0,0,0,0,1
stats_minecraft:broken_minecraft:golden_axe,0,0,0,0,0,0,0,0,3
stats_minecraft:broken_minecraft:golden_boots,0,0,1,0,0,0,0,1,3
stats_minecraft:broken_minecraft:golden_helmet,0,0,1,0,0,0,0,1,2
stats_minecraft:broken_minecraft:golden_hoe,0,0,2,0,0,0,0,0,2
stats_minecraft:broken_minecraft:golden_leggings,0,0,1,0,0,0,0,0,1
stats_minecraft:broken_minecraft:golden_pickaxe,0,0,0,0,0,0,0,0,1
stats_minecraft:broken_minecraft:golden_shovel,0,0,0,0,0,1,0,0,2
stats_minecraft:broken_minecraft:iron_axe,2,2,51,4,0,16,0,0,6
stats_minecraft:broken_minecraft:iron_boots,0,0,0,1,0,1,0,0,1
stats_minecraft:broken_minecraft:iron_chestplate,0,0,0,0,1,0,0,0,1
stats_minecraft:broken_minecraft:iron_helmet,0,0,0,1,0,1,0,0,2
stats_minecraft:broken_minecraft:iron_hoe,2,0,0,1,0,1,0,0,0
stats_minecraft:broken_minecraft:iron_leggings,0,0,1,0,0,0,0,0,2
stats_minecraft:broken_minecraft:iron_pickaxe,3,9,57,13,0,38,1,3,5
stats_minecraft:broken_minecraft:iron_shovel,0,1,21,2,0,85,0,0,4
stats_minecraft:broken_minecraft:iron_sword,0,3,5,0,0,3,0,0,2
stats_minecraft:broken_minecraft:leather_boots,0,0,0,0,0,0,0,0,1
stats_minecraft:broken_minecraft:shears,0,0,3,5,0,2,0,0,0
stats_minecraft:broken_minecraft:shield,0,2,6,0,0,0,0,1,1
stats_minecraft:broken_minecraft:stone_axe,0,3,25,0,0,0,0,0,10
stats_minecraft:broken_minecraft:stone_hoe,0,0,0,1,0,1,0,0,1
stats_minecraft:broken_minecraft:stone_pickaxe,0,3,21,0,0,1,0,1,214
stats_minecraft:broken_minecraft:stone_shovel,0,5,17,0,0,2,0,0,79
stats_minecraft:broken_minecraft:stone_sword,0,1,5,0,0,1,0,0,0
stats_minecraft:broken_minecraft:wooden_axe,0,1,0,0,0,0,0,0,0
stats_minecraft:broken_minecraft:wooden_pickaxe,0,1,1,0,0,0,0,0,1
stats_minecraft:broken_minecraft:wooden_shovel,0,0,0,0,0,1,0,0,0
stats_minecraft:broken_minecraft:wooden_sword,0,1,1,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:acacia_boat,0,0,3,1,0,0,0,1,1
stats_minecraft:crafted_minecraft:acacia_door,0,0,0,3,0,6,0,0,0
stats_minecraft:crafted_minecraft:acacia_fence,0,0,51,0,0,0,0,0,93
stats_minecraft:crafted_minecraft:acacia_fence_gate,0,0,20,0,0,0,0,0,0
stats_minecraft:crafted_minecraft:acacia_planks,0,4,2564,32,0,88,0,308,404
stats_minecraft:crafted_minecraft:acacia_sign,0,0,18,0,0,0,0,3,0
